Pacote,Concrete Type,Call Method Name,Field Name,Metodo,Line Code,Class,Ocorrencias,Into Loop,Loops Info,Inside Recursive Method
java/util/Map,Ljava/util/Map,getAdapter,typeTokenCache,iterator,433,Lcom/google/gson/Gson>,27,false,,false
java/util/Map,Ljava/util/Map,getAdapter,threadCalls,iterator,447,Lcom/google/gson/Gson>,27,false,,false
java/util/Map,Ljava/util/Map,getAdapter,threadCalls,put(key;value),454,Lcom/google/gson/Gson>,27,false,,false
java/util/List,Ljava/util/List,getAdapter,factories,iterator,456,Lcom/google/gson/Gson>,27,false,,false
java/util/Map,Ljava/util/Map,getAdapter,typeTokenCache,put(key;value),460,Lcom/google/gson/Gson>,27,false,,false
java/util/Map,Ljava/util/Map,getAdapter,threadCalls,remove(key),466,Lcom/google/gson/Gson>,54,false,,false
java/util/Map,Ljava/util/Map,get,instanceCreators,iterator,64,Lcom/google/gson/internal/ConstructorConstructor>,7,false,,false
java/util/Map,Ljava/util/Map,get,instanceCreators,iterator,75,Lcom/google/gson/internal/ConstructorConstructor>,7,false,,false
java/util/List,Ljava/util/ArrayList,read,list,add(value),73,Lcom/google/gson/internal/bind/ArrayTypeAdapter>,1,true,1) 1;O1;0; ,false
java/util/List,Ljava/util/ArrayList,read,list,size,77,Lcom/google/gson/internal/bind/ArrayTypeAdapter>,1,false,,false
java/util/List,Ljava/util/ArrayList,read,list,sequentialGet,80,Lcom/google/gson/internal/bind/ArrayTypeAdapter>,1,true,1) 1;ON;null; ,false
java/util/List,Ljava/util/List,getDelegateAdapter,factories,contains,527,Lcom/google/gson/Gson>,7,false,,false
java/util/List,Ljava/util/List,getDelegateAdapter,factories,iterator,532,Lcom/google/gson/Gson>,7,false,,false
java/util/List,Ljava/util/List,get,stack,isEmpty,65,Lcom/google/gson/internal/bind/JsonTreeWriter>,6,false,,false
java/util/List,Ljava/util/List,peek,stack,size,72,Lcom/google/gson/internal/bind/JsonTreeWriter>,14,false,,false
java/util/List,Ljava/util/List,peek,stack,randomGet,72,Lcom/google/gson/internal/bind/JsonTreeWriter>,14,false,,false
java/util/List,Ljava/util/List,put,stack,isEmpty,82,Lcom/google/gson/internal/bind/JsonTreeWriter>,10,false,,false
java/util/List,Ljava/util/List,add,elements,add(value),108,Lcom/google/gson/JsonArray>,11,false,,false
java/util/List,Ljava/util/List,beginArray,stack,add(value),97,Lcom/google/gson/internal/bind/JsonTreeWriter>,1,false,,false
java/util/List,Ljava/util/List,endArray,stack,isEmpty,102,Lcom/google/gson/internal/bind/JsonTreeWriter>,1,false,,false
java/util/List,Ljava/util/List,endArray,stack,size,107,Lcom/google/gson/internal/bind/JsonTreeWriter>,1,false,,false
java/util/List,Ljava/util/List,endArray,stack,remove(middle-index),107,Lcom/google/gson/internal/bind/JsonTreeWriter>,1,false,,false
java/util/List,Ljava/util/List,beginObject,stack,add(value),116,Lcom/google/gson/internal/bind/JsonTreeWriter>,1,false,,false
java/util/List,Ljava/util/List,endObject,stack,isEmpty,121,Lcom/google/gson/internal/bind/JsonTreeWriter>,1,false,,false
java/util/List,Ljava/util/List,endObject,stack,size,126,Lcom/google/gson/internal/bind/JsonTreeWriter>,1,false,,false
java/util/List,Ljava/util/List,endObject,stack,remove(middle-index),126,Lcom/google/gson/internal/bind/JsonTreeWriter>,1,false,,false
java/util/List,Ljava/util/List,name,stack,isEmpty,133,Lcom/google/gson/internal/bind/JsonTreeWriter>,1,false,,false
java/util/List,Ljava/util/List,close,stack,isEmpty,203,Lcom/google/gson/internal/bind/JsonTreeWriter>,1,false,,false
java/util/List,Ljava/util/List,close,stack,add(value),206,Lcom/google/gson/internal/bind/JsonTreeWriter>,1,false,,false
